PAYIN_ID|REFBILL_NO|TRANSFER_DATE|TRAN_DATE|BUS_DATE|SHIFT_DESCRIPTION|LAST_CLOSE_SHIFT_DT|FILEPATH|FILENAME|TYPE|PAYMENT_TYPE|AMOUNTREC|AMOUNT|AMOUNT_DIFF|REMARK|STATUS_SAP|STATUS|NO_SALE_STATUS|CREATEDATE|CREATEBY|UPDATEDATE|UPDATEBY
1829|010720162|2/7/2559|2/7/2559|1/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 01/07/2559 13:32:20 - 01/07/2559 23:32:35,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160702\|Payin2.jpg|2|1|146397.7000|146398.0000|0.3000||2|3|0|2/7/2559 14:11:26|1|2/7/2559 15:37:52|3
1830||2/7/2559|2/7/2559|1/7/2559|||D:\6211\20160702\|report.pdf|3|1||282895.7000||||3||2/7/2559 14:11:26|1|2/7/2559 15:37:50|3
1831|030720161|3/7/2559|3/7/2559|3/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 03/07/2559 00:03:33 - 03/07/2559 13:36:58|3/7/2559 13:36:58|D:\6211\20160703\|Payin1.jpg|1|1|141077.1000|141078.0000|0.9000||2|3|0|3/7/2559 13:44:53|1|3/7/2559 16:24:38|1
1832|020720162|3/7/2559|3/7/2559|2/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 02/07/2559 13:52:49 - 02/07/2559 23:34:47,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160703\|Payin2.jpg|2|1|136862.2000|136863.0000|0.8000||2|3|0|3/7/2559 13:44:53|1|3/7/2559 16:24:39|1
1833||3/7/2559|3/7/2559|2/7/2559|||D:\6211\20160703\|report.pdf|3|1||295573.2000||||3||3/7/2559 13:44:53|1|3/7/2559 16:24:36|1
1834|040720161|4/7/2559|4/7/2559|4/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 04/07/2559 00:04:06 - 04/07/2559 14:00:36|4/7/2559 14:00:36|D:\6211\20160704\|Payin1.jpg|1|1|131590.5000|131591.0000|0.5000||2|3|0|4/7/2559 14:08:07|3|4/7/2559 15:24:35|3
1835|030720162|4/7/2559|4/7/2559|3/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 03/07/2559 13:37:17 - 03/07/2559 23:31:02,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160704\|Payin2.jpg|2|1|153476.3000|153477.0000|0.7000||2|3|0|4/7/2559 14:08:07|3|4/7/2559 15:24:36|3
1836||4/7/2559|4/7/2559|3/7/2559|||D:\6211\20160704\|report.pdf|3|1||294554.3000||||3||4/7/2559 14:08:07|3|4/7/2559 15:24:33|3
1837|050720161|5/7/2559|5/7/2559|5/7/2559|POS เครื่องที่ 1 จากกะที่ 1 - 2 05/07/2559 00:16:57 - 05/07/2559 13:06:15|5/7/2559 13:06:15|D:\6211\20160705\|Payin1.jpg|1|1|136639.3000|136640.0000|0.7000||2|3|0|5/7/2559 13:51:13|2|5/7/2559 15:54:49|1
1838|040720162|5/7/2559|5/7/2559|4/7/2559|POS เครื่องที่ 1 จากกะที่ 3 - 3 04/07/2559 14:01:01 - 04/07/2559 23:36:02,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20160705\|Payin2.jpg|2|1|129478.1000|128979.0000|-499.1000|มีการแก้ไขยอดเนื่องจาก$$&&ยอกในระบบไม่ตรงกันระหว่างBOR001กับBOR002 ซึ่งมียอดแตกต่างกันอยู่500บาท $$&&โดยประสานงานกับทางบัญชี ปตท.แล้วให้ยึดตามBOR002 $$&&และได้มีการแจ้งทางICTเรียบร้อย|2|3|0|5/7/2559 13:51:13|2|5/7/2559 15:54:53|1
