MAT_ID|BASE_UOM|ALTERNATIVE_UOM|NUMERATOR|DENOMINATOR|NORMAL_SIZE_L|BASE_UOM_BLOCK|DAY_ID|SHIFT_NO|CREATEDATE|MODDATE|MODBY
400484|BOT|L|10.00000|5.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400485|PAK|L|1.00000|6.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400486|KAN|L|100.00000|332.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400487|PAK|L|100.00000|2146.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400488|KAN|L|100.00000|332.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400489|KAN|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400490|DR|L|1.00000|205.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400491|DR|L|1.00000|205.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400492|DR|L|1.00000|205.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400493|DR|L|1.00000|205.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400494|DR|L|1.00000|209.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400495|DR|L|1.00000|25.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400496|DR|L|1.00000|209.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400497|DR|L|100.00000|20179.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400498|DR|L|1.00000|209.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400499|DR|L|1.00000|25.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400500|DR|L|1.00000|20.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400501|DR|L|1.00000|208.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400502|DR|L|1.00000|25.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400503|DR|L|1000.00000|20293.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400504|DR|L|1.00000|209.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400505|DR|L|1.00000|25.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400506|DR|L|1.00000|50.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400507|DR|L|1.00000|50.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400508|KAN|L|1000.00000|3785.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400509|DR|L|1.00000|1000.00000|| |0|0|17/12/2558 19:30:11|17/12/2558 19:30:11|Opass Chaisiri : 0892067304
400510|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400511|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:11|17/12/2558 19:30:11|Opass Chaisiri : 0892067304
400512|BOT|L|1.00000|4.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400513|PAK|L|1.00000|24.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400514|DR|L|1.00000|15.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400515|DR|L|1.00000|1000.00000|| |0|0|17/12/2558 19:30:11|17/12/2558 19:30:11|Opass Chaisiri : 0892067304
400516|DR|L|1.00000|1000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400517|DR|L|1.00000|1000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
400518|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400519|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
400520|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
