HOSE_ID|PERIOD_ID|OPEN_METER_VALUE|CLOSE_METER_VALUE|OPEN_METER_VOLUME|CLOSE_METER_VOLUME|POSTPAY_QUANTITY|POSTPAY_VALUE|POSTPAY_VOLUME|POSTPAY_COST|PREPAY_QUANTITY|PREPAY_VALUE|PREPAY_VOLUME|PREPAY_COST|PREPAY_REFUND_QTY|PREPAY_REFUND_VAL|PREPAY_RFD_LST_QTY|PREPAY_RFD_LST_VAL|PREAUTH_QUANTITY|PREAUTH_VALUE|PREAUTH_VOLUME|PREAUTH_COST|MONITOR_QUANTITY|MONITOR_VALUE|MONITOR_VOLUME|MONITOR_COST|DRIVEOFFS_QUANTITY|DRIVEOFFS_VALUE|DRIVEOFFS_VOLUME|DRIVEOFFS_COST|TEST_DEL_QUANTITY|TEST_DEL_VOLUME|OFFLINE_QUANTITY|OFFLINE_VOLUME|OFFLINE_VALUE|OFFLINE_COST|OPEN_MECH_VOLUME|CLOSE_MECH_VOLUME|OPEN_VOLUME_TURNOVER_CORRECTION|OPEN_MONEY_TURNOVER_CORRECTION|CLOSE_VOLUME_TURNOVER_CORRECTION|CLOSE_MONEY_TURNOVER_CORRECTION|OPEN_VOLUME_TURNOVER_CORRECTION2|CLOSE_VOLUME_TURNOVER_CORRECTION2
15|5566|1696488.2000|1696988.2000|345699.8700|345719.4400|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-2779517.1600|0.0000|-2779517.1600|0.0000|0.0000
15|5567|1696988.2000|0.0000|345719.4400|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-2779517.1600|0.0000|0.0000|0.0000|0.0000
16|5565|5444883.2000|0.0000|209154.2800|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|1356735.7900|0.0000|0.0000|0.0000|0.0000
16|5566|5444883.2000|5444883.2000|209154.2800|209154.2800|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|1356735.7900|0.0000|1356735.7900|0.0000|0.0000
16|5567|5444883.2000|0.0000|209154.2800|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|1356735.7900|0.0000|0.0000|0.0000|0.0000
17|5565|8617111.1000|0.0000|179739.9700|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|2000000.0000|52634055.5700|0.0000|0.0000|0.0000|0.0000
17|5566|8617111.1000|8620746.1000|179739.9700|179885.4300|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|2000000.0000|52634055.5700|2000000.0000|52634055.5700|0.0000|0.0000
17|5567|8620746.1000|0.0000|179885.4300|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|2000000.0000|52634055.5700|0.0000|0.0000|0.0000|0.0000
18|5565|9497636.1000|0.0000|398396.9000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|26128968.9600|0.0000|0.0000|0.0000|0.0000
18|5566|9497636.1000|9498336.1000|398396.9000|398424.3100|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|26128968.9600|1000000.0000|26128968.9600|0.0000|0.0000
18|5567|9498336.1000|0.0000|398424.3100|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|26128968.9600|0.0000|0.0000|0.0000|0.0000

